model,attribute,group,n,positive_rate,pr_auc,recall,precision,threshold
XGBoost Calibrated,age,[30-40),527,0.09487666034155598,0.31761943318148095,0.56,0.2857142857142857,0.135
XGBoost Calibrated,age,[40-50),1468,0.11307901907356949,0.25726673901943914,0.3795180722891566,0.252,0.135
XGBoost Calibrated,age,[50-60),2553,0.09479044261652958,0.19200546988779085,0.3677685950413223,0.20412844036697247,0.135
XGBoost Calibrated,age,[60-70),3478,0.11242093156986774,0.23108412287936703,0.4117647058823529,0.22299168975069253,0.135
XGBoost Calibrated,age,[70-80),3838,0.11594580510682648,0.2037502997087449,0.38202247191011235,0.1983663943990665,0.135
XGBoost Calibrated,age,[80-90),2638,0.1197877179681577,0.18970228652455595,0.39556962025316456,0.18628912071535023,0.135
XGBoost Calibrated,age,[90-100),399,0.12030075187969924,0.14841773864714677,0.2916666666666667,0.175,0.135
XGBoost Calibrated,gender,Female,8158,0.11142436871782299,0.19633121506165607,0.39713971397139713,0.20534698521046643,0.135
XGBoost Calibrated,gender,Male,7105,0.10921885995777621,0.22546353107293493,0.3801546391752577,0.21071428571428572,0.135
LightGBM,age,[0-10),28,0.0,,0.0,0.0,0.48999999999999994
LightGBM,age,[10-20),101,0.06930693069306931,0.1407909856506596,0.42857142857142855,0.2,0.48999999999999994
LightGBM,age,[20-30),233,0.08583690987124463,0.12455720926201252,0.25,0.13157894736842105,0.48999999999999994
LightGBM,age,[30-40),527,0.09487666034155598,0.31971339960153994,0.6,0.2727272727272727,0.48999999999999994
LightGBM,age,[40-50),1468,0.11307901907356949,0.2660450811080999,0.4457831325301205,0.26523297491039427,0.48999999999999994
LightGBM,age,[50-60),2553,0.09479044261652958,0.19985227498977137,0.3884297520661157,0.19461697722567287,0.48999999999999994
LightGBM,age,[60-70),3478,0.11242093156986774,0.24977406706427965,0.44501278772378516,0.21941992433795712,0.48999999999999994
LightGBM,age,[70-80),3838,0.11594580510682648,0.2037970031219859,0.40898876404494383,0.19097586568730326,0.48999999999999994
LightGBM,age,[80-90),2638,0.1197877179681577,0.20311407117902883,0.4430379746835443,0.1797175866495507,0.48999999999999994
LightGBM,age,[90-100),399,0.12030075187969924,0.14855141189770826,0.2916666666666667,0.15053763440860216,0.48999999999999994
LightGBM,gender,Female,8158,0.11142436871782299,0.2026648984820661,0.4235423542354235,0.19483805668016194,0.48999999999999994
LightGBM,gender,Male,7105,0.10921885995777621,0.2396363645028228,0.4265463917525773,0.21123165283982132,0.48999999999999994
CatBoost,age,[0-10),28,0.0,,0.0,0.0,0.575
CatBoost,age,[10-20),101,0.06930693069306931,0.11674262970844017,0.14285714285714285,0.08333333333333333,0.575
CatBoost,age,[20-30),233,0.08583690987124463,0.119321765244977,0.2,0.17391304347826086,0.575
CatBoost,age,[30-40),527,0.09487666034155598,0.32888674498878956,0.56,0.29473684210526313,0.575
CatBoost,age,[40-50),1468,0.11307901907356949,0.27462516141748067,0.3795180722891566,0.26582278481012656,0.575
CatBoost,age,[50-60),2553,0.09479044261652958,0.20053990604963168,0.33884297520661155,0.20759493670886076,0.575
CatBoost,age,[60-70),3478,0.11242093156986774,0.2503350068837627,0.38618925831202044,0.2291350531107739,0.575
CatBoost,age,[70-80),3838,0.11594580510682648,0.20533670716585528,0.36404494382022473,0.20584498094027953,0.575
CatBoost,age,[80-90),2638,0.1197877179681577,0.2039405771902969,0.3639240506329114,0.18729641693811075,0.575
CatBoost,age,[90-100),399,0.12030075187969924,0.1431878759998635,0.1875,0.15,0.575
CatBoost,gender,Female,8158,0.11142436871782299,0.20451033932007878,0.36853685368536854,0.20963704630788485,0.575
CatBoost,gender,Male,7105,0.10921885995777621,0.2387214625633433,0.36082474226804123,0.21806853582554517,0.575
MLP,age,[0-10),28,0.0,,0.0,0.0,0.4549999999999999
MLP,age,[10-20),101,0.06930693069306931,0.12241985068072024,0.14285714285714285,0.09090909090909091,0.4549999999999999
MLP,age,[20-30),233,0.08583690987124463,0.10218808826175285,0.1,0.07142857142857142,0.4549999999999999
MLP,age,[30-40),527,0.09487666034155598,0.3244388336642246,0.64,0.25,0.4549999999999999
MLP,age,[40-50),1468,0.11307901907356949,0.28056912547808505,0.4578313253012048,0.22418879056047197,0.4549999999999999
MLP,age,[50-60),2553,0.09479044261652958,0.21819336264212386,0.4132231404958678,0.20491803278688525,0.4549999999999999
MLP,age,[60-70),3478,0.11242093156986774,0.2487642231243754,0.4219948849104859,0.2017114914425428,0.4549999999999999
MLP,age,[70-80),3838,0.11594580510682648,0.1866093872083427,0.38202247191011235,0.18338727076591155,0.4549999999999999
MLP,age,[80-90),2638,0.1197877179681577,0.20263046842622978,0.40189873417721517,0.18352601156069365,0.4549999999999999
MLP,age,[90-100),399,0.12030075187969924,0.1384487368791673,0.25,0.15384615384615385,0.4549999999999999
MLP,gender,Female,8158,0.11142436871782299,0.21297270609556687,0.4136413641364136,0.20368364030335862,0.4549999999999999
MLP,gender,Male,7105,0.10921885995777621,0.22532651229037592,0.39819587628865977,0.18580877931449188,0.4549999999999999
TabTransformer,age,[0-10),28,0.0,,0.0,0.0,0.4499999999999999
TabTransformer,age,[10-20),101,0.06930693069306931,0.11009051445683797,0.14285714285714285,0.09090909090909091,0.4499999999999999
TabTransformer,age,[20-30),233,0.08583690987124463,0.10196720854945973,0.15,0.08571428571428572,0.4499999999999999
TabTransformer,age,[30-40),527,0.09487666034155598,0.33592599021203234,0.66,0.2727272727272727,0.4499999999999999
TabTransformer,age,[40-50),1468,0.11307901907356949,0.2848172330736156,0.4036144578313253,0.24100719424460432,0.4499999999999999
TabTransformer,age,[50-60),2553,0.09479044261652958,0.21214586188206822,0.3884297520661157,0.19066937119675456,0.4499999999999999
TabTransformer,age,[60-70),3478,0.11242093156986774,0.2476624762339202,0.43478260869565216,0.21518987341772153,0.4499999999999999
TabTransformer,age,[70-80),3838,0.11594580510682648,0.18333282440015064,0.3707865168539326,0.1950354609929078,0.4499999999999999
TabTransformer,age,[80-90),2638,0.1197877179681577,0.20440114337344872,0.33860759493670883,0.1832191780821918,0.4499999999999999
TabTransformer,age,[90-100),399,0.12030075187969924,0.15188296095315273,0.2708333333333333,0.16455696202531644,0.4499999999999999
