model,attribute,group,n,positive_rate,pr_auc,recall,precision,threshold
XGBoost,gender,Female,8168,0.11287952987267386,0.23577500399058196,0.4284164859002169,0.22366930917327293,0.3999999999999999
XGBoost,gender,Male,7096,0.11006200676437429,0.21765634436297063,0.38156209987195905,0.20481099656357388,0.3999999999999999
XGBoost Calibrated,age,[0-10),26,0.0,,0.0,0.0,0.14999999999999997
XGBoost Calibrated,age,[10-20),95,0.06315789473684211,0.20142992680943345,0.16666666666666666,0.16666666666666666,0.14999999999999997
XGBoost Calibrated,age,[20-30),248,0.1532258064516129,0.4403378315830315,0.7631578947368421,0.3972602739726027,0.14999999999999997
XGBoost Calibrated,age,[30-40),564,0.10815602836879433,0.234404944281008,0.3770491803278688,0.23711340206185566,0.14999999999999997
XGBoost Calibrated,age,[40-50),1401,0.10278372591006424,0.2534878354827224,0.4930555555555556,0.2305194805194805,0.14999999999999997
XGBoost Calibrated,age,[50-60),2600,0.09192307692307693,0.20364267499441116,0.3598326359832636,0.2182741116751269,0.14999999999999997
XGBoost Calibrated,age,[60-70),3405,0.11600587371512482,0.22748324038796194,0.38734177215189874,0.2361111111111111,0.14999999999999997
XGBoost Calibrated,age,[70-80),3966,0.11699445284921836,0.2059340969070399,0.3857758620689655,0.20271800679501698,0.14999999999999997
XGBoost Calibrated,age,[80-90),2544,0.11988993710691824,0.1870413974769219,0.3639344262295082,0.19072164948453607,0.14999999999999997
XGBoost Calibrated,age,[90-100),416,0.12259615384615384,0.1854182427718714,0.3137254901960784,0.1951219512195122,0.14999999999999997
XGBoost Calibrated,gender,Female,8168,0.11287952987267386,0.22483917894732336,0.40997830802603036,0.2231404958677686,0.14999999999999997
XGBoost Calibrated,gender,Male,7096,0.11006200676437429,0.20533687179319154,0.3725992317541613,0.21102248005801305,0.14999999999999997
LightGBM,age,[0-10),26,0.0,,0.0,0.0,0.27499999999999997
LightGBM,age,[10-20),95,0.06315789473684211,0.20964458247066942,0.3333333333333333,0.2222222222222222,0.27499999999999997
LightGBM,age,[20-30),248,0.1532258064516129,0.4830406405799942,0.7631578947368421,0.4142857142857143,0.27499999999999997
LightGBM,age,[30-40),564,0.10815602836879433,0.24914334191903065,0.39344262295081966,0.25806451612903225,0.27499999999999997
LightGBM,age,[40-50),1401,0.10278372591006424,0.27723899513857064,0.4791666666666667,0.24041811846689895,0.27499999999999997
LightGBM,age,[50-60),2600,0.09192307692307693,0.22574195680448406,0.33472803347280333,0.22160664819944598,0.27499999999999997
LightGBM,age,[60-70),3405,0.11600587371512482,0.23912287169979368,0.35443037974683544,0.24647887323943662,0.27499999999999997
LightGBM,age,[70-80),3966,0.11699445284921836,0.20956462655730063,0.31896551724137934,0.1970705725699068,0.27499999999999997
LightGBM,age,[80-90),2544,0.11988993710691824,0.1912854578562314,0.2983606557377049,0.19527896995708155,0.27499999999999997
LightGBM,age,[90-100),416,0.12259615384615384,0.20582647334432286,0.23529411764705882,0.20689655172413793,0.27499999999999997
